id,x,y,year,type,east_west,neighbourhood,district,node_label
1964499,13.332272717282247,52.4177480347187,1964,bus,west,Lichterfelde,Steglitz-Zehlendorf,Hildburghauser Strasse
19641187,13.343616343041083,52.41555243137193,1964,bus,west,Lichterfelde,Steglitz-Zehlendorf,Stadtilmer Weg
1964779,13.366682434667776,52.41271867214118,1964,bus,west,Marienfelde,Tempelhof-Schöneberg,"Marienfelde, Alt-Marienfelde"
1964370,13.387474124225042,52.53347451941179,1964,bus,west,Gesundbrunnen,Mitte,Gartenstrasse Ecke Bernauer Strasse
1964406,13.378147647725354,52.541822798579034,1964,bus,west,Gesundbrunnen,Mitte,Grenzstrasse
19641296,13.359096803326494,52.54640033291444,1964,bus,west,Wedding,Mitte,U-Bhf. Leopold-Platz
19641309,13.352298502985231,52.550315408708514,1964,bus,west,Wedding,Mitte,U-Bhf. Seestrasse
1964188,13.351189355013176,52.558311542070335,1964,bus,west,Wedding,Mitte,Bristolstrasse
1964301,13.351240165364471,52.5675354709663,1964,bus,west,Reinickendorf,Reinickendorf,Emmentaler Strasse
1964725,13.359026284637647,52.573378512244474,1964,bus,west,Reinickendorf,Reinickendorf,Lindauer Strasse
19641249,13.33387304396357,52.581461003387226,1964,bus,west,Wittenau,Reinickendorf,Tessenowstrasse Ecke Oranienburgerstrasse
1964287,13.32639160518794,52.591828552976516,1964,bus,west,Wittenau,Reinickendorf,Eichborndamm Ecke Alt-Wittenau
1964242,13.32483857919441,52.60208376924525,1964,bus,west,Wittenau,Reinickendorf,Cyclopstrasse
19641435,13.323845802997752,52.60786610541416,1964,bus,west,Waidmannslust,Reinickendorf,Zabel-KrÃ¼ger-Damm
196418,13.31700949454557,52.61486318631112,1964,bus,west,Hermsdorf,Reinickendorf,Almutstrasse Ecke Berliner Strasse
1964493,13.312891819525612,52.62242631668916,1964,bus,west,Hermsdorf,Reinickendorf,Hermsdorfer Damm Ecke Berlinerstrasse
19641439,13.290447049862035,52.633501673257435,1964,bus,west,Frohnau,Reinickendorf,Zeltinger Platz
1964268,13.28047497184123,52.62982465046043,1964,bus,west,Frohnau,Reinickendorf,Donnersmarckplatz
1964443,13.27475571542677,52.63439314334195,1964,bus,west,Frohnau,Reinickendorf,Hainbuchenstrasse Ecke Kastanienallee
1964708,13.359233475022176,52.54647397037027,1964,bus,west,Wedding,Mitte,Leopoldplatz
196490,13.351189355013176,52.558311542070335,1964,bus,west,Wedding,Mitte,Barfusstrasse
1964861,13.333037366087483,52.59544415987805,1964,bus,west,Wittenau,Reinickendorf,Oranienburger Strasse
1964977,13.326377240287412,52.59178549505881,1964,bus,west,Wittenau,Reinickendorf,Rathaus Reinickendorf
19641094,13.315782291969848,52.61770172749746,1964,bus,west,Hermsdorf,Reinickendorf,Schildower Strasse
1964884,13.31169555587102,52.62619860014992,1964,bus,west,Hermsdorf,Reinickendorf,Oswinsteig
1964510,13.299374608466762,52.62626276180117,1964,bus,west,Hermsdorf,Reinickendorf,Hohefeldstrasse
1964544,13.294346609144698,52.62964256060701,1964,bus,west,Frohnau,Reinickendorf,Im Fischgrund
196424,13.210646859320935,52.60616921042186,1964,bus,west,Heiligensee,Reinickendorf,Alt-Heiligensee
196444,13.22984370797522,52.60655284387061,1964,bus,west,Heiligensee,Reinickendorf,Am Dachsbau
1964362,13.25204128545515,52.59988612656876,1964,bus,west,Tegel,Reinickendorf,Gabelung
19641029,13.275075196373528,52.59792202028554,1964,bus,west,Tegel,Reinickendorf,Ruppiner Chaussee
19641313,13.283630715732999,52.589503132547385,1964,bus,west,Tegel,Reinickendorf,U-Bhf. Tegel
1964117,13.294692761311245,52.57629905299874,1964,bus,west,Tegel,Reinickendorf,Bernauer Strasse
1964643,13.278749331662,52.57573397877684,1964,bus,west,Tegel,Reinickendorf,Krankenhaus Tegel-SÃ¼d
19641206,13.254645985136678,52.562001332583385,1964,bus,west,Tegel,Reinickendorf,Strasse nach Saatwinkel
1964253,13.232264733228831,52.540609965802126,1964,bus,west,Haselhorst,Spandau,Daumstrasse
1964225,13.203987462586664,52.54010263102275,1964,bus,west,Spandau,Spandau,Carl-Schurz-Strasse Ecke Neuendorfer Strasse
1964979,13.199505517192808,52.53480744415333,1964,bus,west,Spandau,Spandau,Rathaus Spandau
19641141,13.195651259490834,52.52917051434413,1964,bus,west,Wilhelmstadt,Spandau,Seebugerstrasse Ecke Pichelsdorferstrasse
1964959,13.181851254649866,52.526347644869524,1964,bus,west,Wilhelmstadt,Spandau,PÃ¤wesiner Weg
1964470,13.179022303033726,52.51662457723462,1964,bus,west,Wilhelmstadt,Spandau,Heerstrasse Ecke Wilhelmstrasse
19641370,13.180314851039075,52.50924681744358,1964,bus,west,Wilhelmstadt,Spandau,Weinmeisterhornweg
1964794,13.22054523598869,52.61697542594992,1964,bus,west,Heiligensee,Reinickendorf,Mattenbuder Pfad Chaussee Ecke Hennigsdorfer Strasse
19641031,13.227541592099726,52.62647541728233,1964,bus,west,Heiligensee,Reinickendorf,Ruppiner Chaussee Ecke Hennigsdorfer Strasse
19641030,13.244906142382904,52.614439200663185,1964,bus,west,Heiligensee,Reinickendorf,Ruppiner Chaussee & Schulzendorferstrasse
