source,target,label,type,year,frequency,east_west,capacity,distance,edge_type
1946336,1946337,6,strassenbahn,1946,12,both/unkown,195,0.002749731557877231,strassenbahn
1946337,1946279,6,strassenbahn,1946,12,both/unkown,195,0.3067584641384106,strassenbahn
1946279,194675,6,strassenbahn,1946,12,both/unkown,195,0.49746509177458237,strassenbahn
194675,194638,6,strassenbahn,1946,12,both/unkown,195,1.3414154054181948,strassenbahn
194638,1946145,6,strassenbahn,1946,12,both/unkown,195,0.3398201646841681,strassenbahn
1946145,1946601,6,strassenbahn,1946,12,both/unkown,195,0.6688385361479287,strassenbahn
1946601,1946559,6,strassenbahn,1946,12,both/unkown,195,1.2879324684263755,strassenbahn
1946559,1946474,87,strassenbahn,1946,10,unkown,195,1.517299382369641,strassenbahn
1946559,194615,87,strassenbahn,1946,10,unkown,195,0.31915755076318797,strassenbahn
1946501,1946500,8,strassenbahn,1946,15,both/unkown,195,0.3846406278502938,strassenbahn
1946500,1946499,8,strassenbahn,1946,15,both/unkown,195,1.172303820364946,strassenbahn
1946499,1946386,8,strassenbahn,1946,15,both/unkown,195,0.5552281635354406,strassenbahn
1946386,1946385,8,strassenbahn,1946,15,both/unkown,195,0.6775731476569342,strassenbahn
1946385,194695,8,strassenbahn,1946,15,both/unkown,195,2.0506949701527146,strassenbahn
194695,194657,8,strassenbahn,1946,15,both/unkown,195,1.1961821737569642,strassenbahn
194657,194696,8,strassenbahn,1946,15,both/unkown,195,1.1961821737569642,strassenbahn
194696,1946613,8,strassenbahn,1946,15,both/unkown,195,0.04269771265870367,strassenbahn
1946613,1946614,8,strassenbahn,1946,15,both/unkown,195,1.097145311945996,strassenbahn
1946614,1946202,8,strassenbahn,1946,15,both/unkown,195,0.3902706772158981,strassenbahn
1946202,194641,8,strassenbahn,1946,15,both/unkown,195,1.309118805869813,strassenbahn
194641,194640,8,strassenbahn,1946,15,both/unkown,195,1.0230635176865348,strassenbahn
194641,1946592,60,strassenbahn,1946,5,unkown,195,1.3683542673428208,strassenbahn
194641,1946592,72,strassenbahn,1946,7,unkown,195,1.3683542673428208,strassenbahn
194641,1946191,60,strassenbahn,1946,5,unkown,195,1.8201974011730464,strassenbahn
194641,1946305,72,strassenbahn,1946,7,unkown,195,1.2894206024740686,strassenbahn
194640,1946593,8,strassenbahn,1946,15,both/unkown,195,1.8438499740286962,strassenbahn
1946593,1946315,8,strassenbahn,1946,15,both/unkown,195,1.1222636890983544,strassenbahn
1946593,1946234,64,strassenbahn,1946,10,unkown,195,1.6950873581289578,strassenbahn
1946593,1946235,64,strassenbahn,1946,10,unkown,195,0.04413131054492932,strassenbahn
1946315,1946350,8,strassenbahn,1946,15,both/unkown,195,0.6578295682465005,strassenbahn
1946315,1946304,69,strassenbahn,1946,7,unkown,195,1.3023207580259986,strassenbahn
1946315,1946230,69,strassenbahn,1946,7,unkown,195,1.3510872727232,strassenbahn
1946350,1946205,8,strassenbahn,1946,15,both/unkown,195,0.8311075756615443,strassenbahn
1946573,194698,9,bus,1946,10,both/unkown,100,1.2585198118506102,bus
194698,1946120,9,bus,1946,10,both/unkown,100,1.4237132528250658,bus
1946120,1946118,9,bus,1946,10,both/unkown,100,1.928703873980673,bus
1946565,1946297,13,strassenbahn,1946,15,both/unkown,195,1.5904057549569286,strassenbahn
1946297,1946284,13,strassenbahn,1946,15,both/unkown,195,0.543990313371164,strassenbahn
1946188,1946555,3,strassenbahn,1946,10,both/unkown,195,0.228531989474699,strassenbahn
1946188,1946268,55,strassenbahn,1946,6,unkown,195,0.825642140157913,strassenbahn
1946555,1946267,3,strassenbahn,1946,10,both/unkown,195,1.735537345814494,strassenbahn
1946267,194649,3,strassenbahn,1946,10,both/unkown,195,0.8759745423694181,strassenbahn
194649,1946605,3,strassenbahn,1946,10,both/unkown,195,0.7342536815934851,strassenbahn
1946605,1946610,3,strassenbahn,1946,10,both/unkown,195,0.5466513389550974,strassenbahn
1946610,1946611,3,strassenbahn,1946,10,both/unkown,195,0.7415596030748705,strassenbahn
